iter	Passed	Remaining
862	1983	314
863	1985	312
864	1986	310
865	1987	307
866	1989	305
867	1990	302
868	1993	300
869	1995	298
870	1997	295
871	1998	293
872	1999	290
873	2001	288
874	2003	286
875	2004	283
876	2006	281
877	2009	279
878	2011	276
879	2013	274
880	2015	272
881	2017	269
882	2018	267
883	2020	265
884	2021	262
885	2025	260
886	2026	258
887	2028	255
888	2029	253
889	2031	251
890	2032	248
891	2034	246
892	2035	243
893	2036	241
894	2039	239
895	2041	236
896	2042	234
897	2044	232
898	2045	229
899	2047	227
900	2048	225
901	2050	222
902	2051	220
903	2054	218
904	2056	215
905	2057	213
906	2059	211
907	2060	208
908	2061	206
909	2063	204
910	2064	201
911	2066	199
912	2070	197
913	2071	194
914	2073	192
915	2075	190
916	2078	188
917	2080	185
918	2082	183
919	2085	181
920	2087	179
921	2089	176
922	2090	174
923	2092	172
924	2094	169
925	2096	167
926	2098	165
927	2103	163
928	2105	160
929	2106	158
930	2109	156
931	2110	153
932	2111	151
933	2113	149
934	2116	147
935	2118	144
936	2119	142
937	2121	140
938	2122	137
939	2124	135
940	2125	133
941	2127	130
942	2128	128
943	2131	126
944	2133	124
945	2134	121
946	2136	119
947	2137	117
948	2138	114
949	2140	112
950	2141	110
951	2143	108
952	2144	105
953	2146	103
954	2151	101
955	2153	99
956	2157	96
957	2159	94
958	2160	92
959	2163	90
960	2164	87
961	2166	85
962	2168	83
963	2170	81
964	2173	78
965	2175	76
966	2176	74
967	2178	72
968	2179	69
969	2180	67
970	2182	65
971	2183	62
972	2185	60
973	2189	58
974	2191	56
975	2192	53
976	2195	51
977	2196	49
978	2197	47
979	2199	44
980	2200	42
981	2204	40
982	2205	38
983	2207	35
984	2208	33
985	2209	31
986	2211	29
987	2212	26
988	2214	24
989	2215	22
990	2218	20
991	2220	17
992	2221	15
993	2223	13
994	2224	11
995	2226	8
996	2227	6
997	2229	4
998	2230	2
999	2233	0
